"Designator","Value","Footprint","Description","LCSC","MFR.Part","Quantity"
"C1, C2, C5, C7, C8, C11, C12, C16, C18, C29, C30","0,1uF","Capacitor_SMD:C_1206_3216Metric","50V 100nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C82601","CC1206KRX7R9BB104","11"
"C3, C6","470uF 25V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","470uF 25V ±20% 440mA@120Hz Plugin,D8xL11.5mm Aluminum Electrolytic Capacitors - Leaded ROHS","C88730","25PX470MEFC8X11.5","2"
"C4","100uF","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W","100uF 20V 900mΩ@100kHz ±10% CASE-D-7343 Tantalum Capacitors ROHS","C122302","T491D107K020AT","1"
"C9, C10","10nF","Capacitor_SMD:C_1206_3216Metric","1kV 10nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C9194","1206B103K102NT","2"
"C13, C14, C15","0,33uF","Capacitor_SMD:C_1206_3216Metric","50V 330nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROH","C274377","CC1206KRX7R9BB334","3"
"C17, C21, C22","1n","Capacitor_SMD:C_1206_3216Metric","50V 1nF NP0 ±2% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C527247","CC1206GRNPO9BN102","3"
"C19, C20","0,47uF","Capacitor_SMD:C_1206_3216Metric","50V 470nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C277483","CC1206KKX7R9BB474","2"
"C23, C24, C25, C26","1n 630v","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","±5% 630V 1nF PET Plugin,P=5mm Film Capacitors ROHS","C2764154","2J102J114CL010","4"
"C27","2u 600V","Capacitor_THT:C_Rect_L31.5mm_W15.0mm_P27.50mm_MKS4","2uF ±10% 600V Plugin,P=27.5mm Polypropylene Film Capacitors (CBB) ROHS","C330414","C3D1U205KB00C00","1"
"C28","0,47u 600V","Capacitor_THT:C_Rect_L26.5mm_W10.5mm_P22.50mm_MKS4","470nF ±5% 750V Plugin,P=27.5mm Polypropylene Film Capacitors (CBB) ROHS","C2928856","MPB474J2V2701","1"
"D1, D5, D6, D8, D9, D10, D11, D12, D13, D14, D15","LL4148","Diode_SMD:D_MiniMELF","75V 500mW 1V@10mA 4ns 150mA LL-34 Switching Diode ROHS","C2891733","LL4148","11"
"D2",,"LED_THT:LED_D3.0mm","619nm Red 60° Plugin,P=2.54mm Light Emitting Diodes (LED) ROHS","C99771","TLHR5400","1"
"D3",,"LED_THT:LED_D3.0mm","588nm~588nm yellow 60° Plugin Light Emitting Diodes (LED) ROHS","C85160","TLHY4405","1"
"D4, D7",,"LED_THT:LED_D3.0mm","green Plugin,D=3.2mm Light Emitting Diodes (LED) ROHS","C2895476","TLHG4400","2"
"D24, D25, D26, D27","SMBJ18CA","Diode_SMD:D_SMB","18V 20V 29.2V SMB(DO-214AA) TVS ROHS","C440286","SMBJ18CA","4"
"D28, D29, D30, D31","ES3JC","Diode_SMD:D_SMC","1.65V 35ns Single 3A 600V SMC(DO-214AB) Diodes - Fast Recovery Rectifiers ROHS","C2936068","ES3JC","4"
