Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,"0,1uF",C_1206_3216Metric,79.756000,-46.482000,-90.000000,bottom
C2,"0,1uF",C_1206_3216Metric,79.756000,-51.308000,90.000000,bottom
C4,100uF,CP_EIA-7343-15_Kemet-W,109.284500,-76.708000,0.000000,bottom
C5,"0,1uF",C_1206_3216Metric,81.280000,-116.635000,-90.000000,bottom
C7,"0,1uF",C_1206_3216Metric,86.868000,-133.096000,-90.000000,bottom
C8,"0,1uF",C_1206_3216Metric,81.280000,-121.461000,90.000000,bottom
C9,10pF,C_1206_3216Metric,68.580000,-110.998000,0.000000,bottom
C10,10pF,C_1206_3216Metric,73.660000,-88.060000,0.000000,bottom
C11,"0,1uF",C_1206_3216Metric,73.660000,-79.170000,0.000000,bottom
C12,"0,1uF",C_1206_3216Metric,168.844000,-37.846000,-90.000000,bottom
C13,"0,33uF",C_1206_3216Metric,120.142000,-122.379000,-90.000000,bottom
C14,"0,33uF",C_1206_3216Metric,121.158000,-133.350000,180.000000,bottom
C15,"0,33uF",C_1206_3216Metric,98.552000,-122.428000,-90.000000,bottom
C16,"0,1uF",C_1206_3216Metric,107.950000,-122.428000,-90.000000,bottom
C17,1n,C_1206_3216Metric,108.204000,-127.254000,-90.000000,bottom
C18,"0,1uF",C_1206_3216Metric,103.378000,-131.572000,0.000000,bottom
C19,"0,47uF",C_1206_3216Metric,108.966000,-42.926000,180.000000,bottom
C20,"0,47uF",C_1206_3216Metric,108.204000,-91.440000,180.000000,bottom
C21,1n,C_1206_3216Metric,117.602000,-59.944000,-90.000000,bottom
C22,1n,C_1206_3216Metric,115.316000,-96.266000,-90.000000,bottom
C29,"0,1uF",C_1206_3216Metric,171.892000,-39.116000,-90.000000,bottom
C30,"0,1uF",C_1206_3216Metric,63.754000,-78.232000,180.000000,bottom
D1,LL4148,D_MiniMELF,86.360000,-103.378000,90.000000,bottom
D5,LL4148,D_MiniMELF,117.602000,-122.428000,90.000000,bottom
D6,LL4148,D_MiniMELF,126.746000,-128.270000,180.000000,bottom
D8,LL4148,D_MiniMELF,102.108000,-55.880000,0.000000,bottom
D9,LL4148,D_MiniMELF,102.108000,-69.342000,0.000000,bottom
D10,LL4148,D_MiniMELF,102.108000,-87.630000,0.000000,bottom
D11,LL4148,D_MiniMELF,102.108000,-106.172000,0.000000,bottom
D12,LL4148,D_MiniMELF,127.000000,-93.980000,0.000000,bottom
D13,LL4148,D_MiniMELF,125.222000,-115.824000,90.000000,bottom
D14,LL4148,D_MiniMELF,125.476000,-49.784000,-90.000000,bottom
D15,LL4148,D_MiniMELF,125.476000,-64.770000,90.000000,bottom
D28,ES3JC,D_SMC,143.256000,-51.816000,180.000000,bottom
D29,ES3JC,D_SMC,143.666000,-72.898000,180.000000,bottom
