Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,R_1206_3216Metric,92.517500,-97.590000,180.000000,bottom
C2,22pF,R_1206_3216Metric,97.405000,-97.590000,0.000000,bottom
C3,"0,1uF",C_1206_3216Metric,88.851000,-105.410000,0.000000,bottom
C4,47uF 10v,CP_EIA-3528-21_Kemet-B,108.458000,-106.993500,-90.000000,bottom
C5,"0,68uF",C_1206_3216Metric,96.950000,-103.940000,0.000000,bottom
C6,"0,1uF",R_1206_3216Metric,105.410000,-106.934000,-90.000000,bottom
C7,"0,1uF",C_1206_3216Metric,100.330000,-124.465000,-90.000000,bottom
C8,10pF,C_1206_3216Metric,126.492000,-125.791500,-90.000000,bottom
C9,"0,1uF",C_1206_3216Metric,115.570000,-106.045000,0.000000,bottom
C13,"0,47uF",C_1206_3216Metric,140.257000,-89.916000,0.000000,bottom
C14,"0,1uF",C_1206_3216Metric,102.362000,-104.345000,90.000000,bottom
C16,"0,1uf",C_1206_3216Metric,131.015000,-110.236000,180.000000,bottom
C17,"0,15uF",C_1206_3216Metric,148.590000,-95.050000,90.000000,bottom
C19,"0,1uF",C_1206_3216Metric,138.392500,-120.450000,90.000000,bottom
C20,"1,0uF",C_1206_3216Metric,145.415000,-109.655000,180.000000,bottom
C22,"0,1uF",C_1206_3216Metric,134.620000,-119.380000,90.000000,bottom
C26,"0,1uF",R_1206_3216Metric,52.832000,-127.700500,-90.000000,bottom
D2,LL4148,D_MiniMELF,151.727500,-119.380000,0.000000,bottom
D3,LL4148,D_MiniMELF,138.430000,-106.480000,180.000000,bottom
D4,LL4148,D_MiniMELF,143.030000,-126.800000,0.000000,bottom
D5,LL4148,D_MiniMELF,138.392500,-126.010000,-90.000000,bottom
D6,20B100,TO-247-3_Horizontal_TabUp,75.105000,-51.700000,-90.000000,bottom
L1,100uH,L_1206_3216Metric,107.315000,-102.489000,180.000000,bottom
L2,220uH  SMD,L_Ferrocore_DLG-0403,46.990000,-91.033000,90.000000,bottom
Q1,IRLML2803,SOT-23,89.220000,-130.277500,-90.000000,bottom
