"Reference","Value","Footprint","Description","LCSC","MFR.Part","Mounting","Qty"
"C1, C2","22pF","Resistor_SMD:R_1206_3216Metric","2kV 22pF NP0 ±5% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C577126","CC1206JKNPODBN220","Yes","2"
"C3, C6, C7, C9, C14, C16, C19, C22, C26","0,1uF","Capacitor_SMD:C_1206_3216Metric","50V 100nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C82601","CC1206KRX7R9BB104","Yes","9"
"C4","47uF 10v","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","47uF 10V 1Ω@100kHz ±10% CASE-B-3528 Tantalum Capacitors ROHS","C116617","T491B476K010AT","Yes","1"
"C5","0,68uF","Capacitor_SMD:C_1206_3216Metric","50V 680nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C145012","CC1206KKX7R9BB684","Yes","1"
"C8","10pF","Capacitor_SMD:C_1206_3216Metric","500V 10pF NP0 ±5% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C469628","CC1206JRNPOBBN100","Yes","1"
"C10, C15","47uF 16v","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","47uF 16V ±20% 73mA@120Hz Plugin,D5xL7mm Aluminum Electrolytic Capacitors - Leaded ROHS","C59402","KM470M016C110A","Yes","2"
"C11","100uF 16v","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","100uF 16V 400mΩ@100kHz ±20% 250mA@100kHz Plugin,D5xL11mm Aluminum Electrolytic Capacitors - Leaded ROHS","C108735","16YXJ100M5X11","Yes","1"
"C12","1000uF 6v3","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","1000uF 6.3V ±20% Plugin,D8xL11.5mm Aluminum Electrolytic Capacitors - Leaded ROHS","C694350","6.3YXJ1000M8X11.5","Yes","1"
"C13","0,47uF","Capacitor_SMD:C_1206_3216Metric","50V 470nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C277483","CC1206KKX7R9BB474","Yes","1"
"C17","0,15uF","Capacitor_SMD:C_1206_3216Metric","50V 150nF X7R ±5% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C2171172","CC1206JKX7R9BB154","Yes","1"
"C18, C21","4,7uF 16v","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","4.7uF 50V ±20% Plugin,D5xL11mm Aluminum Electrolytic Capacitors - Leaded ROHS","C122950","50PX4R7MEFC5X11","Yes","2"
"C20","1,0uF","Capacitor_SMD:C_1206_3216Metric","50V 1uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C107185","CC1206KKX7R9BB105","Yes","1"
