Ref,Val,Package,PosX,PosY,Rot,Side
"D2","GBU15M","Diode_Bridge_Vishay_GBU",168.275000,-80.645000,90.000000,bottom
"C1","470uF 16V","CP_Radial_D8.0mm_P3.50mm",187.325000,-110.815000,90.000000,top
"C2","470nF","C_Rect_L24.0mm_W10.9mm_P22.50mm_MKT",127.508000,-114.046000,180.000000,top
"C3","470nF","C_Rect_L24.0mm_W10.9mm_P22.50mm_MKT",90.170000,-104.415000,90.000000,top
"C4","470nF","C_Rect_L24.0mm_W10.9mm_P22.50mm_MKT",159.385000,-83.868000,90.000000,top
"C5","220pF","C_Disc_D9.0mm_W5.0mm_P7.50mm",163.195000,-89.308000,180.000000,top
"C6","220pF","C_Disc_D9.0mm_W5.0mm_P7.50mm",155.635000,-55.018000,0.000000,top
"C7","220uF 16V","CP_Radial_D8.0mm_P3.50mm",213.995000,-110.815000,90.000000,top
"C8","1nF","C_1206_3216Metric",182.040000,-88.038000,180.000000,top
"C9","4.7uF","C_Rect_L29.0mm_W11.0mm_P27.50mm_MKT",196.215000,-57.370000,-90.000000,top
"C10","0.1uF","C_1206_3216Metric",107.315000,-130.048000,-90.000000,top
"D1","B360","D_SMC",194.085000,-121.920000,180.000000,top
"F1","Fuse","Fuse_Littelfuse_395Series",140.716000,-111.252000,0.000000,top
"J1","Screw_Terminal_01x03","DB129V-7.62-3P-GN-S",90.170000,-57.785000,0.000000,top
"J2","Screw_Terminal_01x02","DB129V-7.62-2P-GN-S",97.790000,-127.000000,0.000000,top
"J3","~","IDC-Header_2x05_P2.54mm_Vertical",187.960000,-134.620000,90.000000,top
"J4","Screw_Terminal_01x01","PinD1_6mm",114.935000,-135.128000,0.000000,top
"J5","Screw_Terminal_01x01","PinD3mm",214.630000,-61.595000,0.000000,top
"J6","Screw_Terminal_01x01","PinD3mm",214.630000,-79.375000,0.000000,top
"J7","Screw_Terminal_01x01","PinD1_6mm",122.555000,-135.128000,180.000000,top
"L1","2X3.3mH 12A","B82726S6123N020",147.066000,-106.426000,180.000000,top
"L2","2X3.3mH 12A","B82726S6123N020",147.066000,-75.311000,180.000000,top
"L3","47uH","L_12x12mm_H8mm",212.725000,-123.190000,0.000000,top
"M1","~","AC_DC_12V2A",175.895000,-94.615000,-90.000000,top
"R1","75k","R_1206_3216Metric",170.122500,-89.535000,0.000000,top
"R2","75k","R_1206_3216Metric",187.325000,-85.090000,-90.000000,top
"R3","75k","R_1206_3216Metric",175.452500,-89.535000,0.000000,top
"R4","75k","R_1206_3216Metric",187.325000,-90.170000,-90.000000,top
"R5","1M","R_1206_3216Metric",109.855000,-130.048000,90.000000,top
"R6","330k","R_1206_3216Metric",206.375000,-65.847500,90.000000,top
"R7","330k","R_1206_3216Metric",206.375000,-71.120000,90.000000,top
"R8","330k","R_1206_3216Metric",206.375000,-76.200000,-90.000000,top
"U1","LM2576S-5","TO-263-5_TabPin3",199.790000,-107.025000,90.000000,top
"U2","PC814","DIP-4_W7.62mm",183.520000,-92.085000,-90.000000,top
