Designator,Mid X,Mid Y,Rotation,Layer
C1,150.495,-116.938,90.0,top
C2,74.93,-83.868,90.0,top
C3,118.745,-84.048,90.0,top
C4,159.385,-83.868,90.0,top
C5,163.195,-89.308,180.0,top
C6,155.635,-55.018,0.0,top
C7,178.435,-112.72,90.0,top
C8,182.04,-88.038,180.0,top
C9,200.66,-57.558,270.0,top
D1,150.905,-124.868,180.0,top
D2,168.275,-80.645,90.0,bottom
F1,56.515,-98.65,270.0,top
J1,58.42,-64.77,0.0,top
J2,184.15,-125.222,90.0,top
J3,227.33,-116.84,180.0,top
J4,203.2,-125.73,180.0,top
J5,222.25,-62.23,0.0,top
J6,222.25,-80.01,0.0,top
J7,209.55,-125.73,0.0,top
L1,84.963,-94.134,90.0,top
L2,125.603,-94.388,90.0,top
L3,166.497,-124.868,0.0,top
M1,68.58,-100.838,0.0,top
R1,170.1225,-89.535,0.0,top
R2,194.1175,-89.535,180.0,top
R3,175.4525,-89.535,0.0,top
R4,188.7875,-89.535,180.0,top
U1,165.735,-106.275,90.0,top
U2,183.52,-91.858,270.0,top
